Id,Date,CalculatedDailySteps
1503960366,2016-03-12,19675
1503960366,2016-03-13,17106
1503960366,2016-03-14,10023
1503960366,2016-03-15,15384
1503960366,2016-03-16,13498
1503960366,2016-03-17,14027
1503960366,2016-03-18,14544
1503960366,2016-03-19,15424
1503960366,2016-03-20,15128
1503960366,2016-03-21,10020
1503960366,2016-03-22,15136
1503960366,2016-03-23,13532
1503960366,2016-03-24,13188
1503960366,2016-03-25,11004
1503960366,2016-03-26,17609
1503960366,2016-03-27,12736
1503960366,2016-03-28,13231
1503960366,2016-03-29,12041
1503960366,2016-03-30,10970
1503960366,2016-03-31,12196
1503960366,2016-04-01,12208
1503960366,2016-04-02,11248
1503960366,2016-04-03,10016
1503960366,2016-04-04,14538
1503960366,2016-04-05,14844
1503960366,2016-04-06,11974
1503960366,2016-04-07,10198
1503960366,2016-04-08,12521
1503960366,2016-04-09,12432
1503960366,2016-04-10,10057
1503960366,2016-04-11,10990
1624580081,2016-03-12,2095
1624580081,2016-03-13,1305
1624580081,2016-03-14,2553
1624580081,2016-03-15,10003
1624580081,2016-03-16,9914
1624580081,2016-03-17,16111
1624580081,2016-03-18,3196
1624580081,2016-03-19,2064
1624580081,2016-03-20,4994
1624580081,2016-03-21,2139
1624580081,2016-03-22,3897
1624580081,2016-03-23,4341
1624580081,2016-03-24,1524
1624580081,2016-03-25,1750
1624580081,2016-03-26,815
1624580081,2016-03-27,1985
1624580081,2016-03-28,1905
1624580081,2016-03-29,1544
1624580081,2016-03-30,1675
1624580081,2016-03-31,4506
1624580081,2016-04-01,9191
1624580081,2016-04-02,1556
1624580081,2016-04-03,2910
1624580081,2016-04-04,18464
1624580081,2016-04-05,1335
1624580081,2016-04-06,1004
1624580081,2016-04-07,1111
1624580081,2016-04-08,6309
1624580081,2016-04-09,3572
1624580081,2016-04-10,3910
1624580081,2016-04-11,10000
1624580081,2016-04-12,6498
1644430081,2016-03-12,16702
1644430081,2016-03-13,7987
1644430081,2016-03-14,4091
1644430081,2016-03-15,11719
1644430081,2016-03-16,10778
1644430081,2016-03-17,4245
1644430081,2016-03-18,1945
1644430081,2016-03-19,1698
1644430081,2016-03-20,5633
1644430081,2016-03-21,4101
1644430081,2016-03-22,13788
1644430081,2016-03-23,7265
1644430081,2016-03-24,4816
1644430081,2016-03-25,2951
1644430081,2016-03-26,2547
1644430081,2016-03-27,5204
1644430081,2016-03-28,7282
1644430081,2016-03-29,10216
1644430081,2016-03-30,8086
1644430081,2016-03-31,10554
1644430081,2016-04-01,4636
1644430081,2016-04-02,20237
1644430081,2016-04-03,12912
1644430081,2016-04-04,2819
1644430081,2016-04-05,9921
1644430081,2016-04-06,8046
1644430081,2016-04-07,11166
1644430081,2016-04-08,7842
1644430081,2016-04-09,13840
1644430081,2016-04-10,1329
1844505072,2016-03-12,0
1844505072,2016-03-13,0
1844505072,2016-03-14,0
1844505072,2016-03-15,0
1844505072,2016-03-16,0
1844505072,2016-03-17,0
1844505072,2016-03-18,0
1844505072,2016-03-19,0
1844505072,2016-03-20,0
1844505072,2016-03-21,0
1844505072,2016-03-22,0
1844505072,2016-03-23,0
1844505072,2016-03-24,0
1844505072,2016-03-25,0
1844505072,2016-03-26,0
1844505072,2016-03-27,0
1844505072,2016-03-28,0
1844505072,2016-03-29,0
1844505072,2016-03-30,2523
1844505072,2016-03-31,6072
1844505072,2016-04-01,6847
1844505072,2016-04-02,5367
1844505072,2016-04-03,2841
1844505072,2016-04-04,0
1844505072,2016-04-05,0
1844505072,2016-04-06,7
1844505072,2016-04-07,6344
1844505072,2016-04-08,5316
1844505072,2016-04-09,4979
1844505072,2016-04-10,6550
1844505072,2016-04-11,5430
1844505072,2016-04-12,0
1927972279,2016-03-12,4252
1927972279,2016-03-13,3652
1927972279,2016-03-14,222
1927972279,2016-03-15,5501
1927972279,2016-03-16,8747
1927972279,2016-03-17,14085
1927972279,2016-03-18,18267
1927972279,2016-03-19,1350
